bucket,kind,era,series,rel_day,value
10y,new_issue,train,ci_hi,7,0.7842202774146474
10y,new_issue,train,ci_hi,8,0.8707714288130353
10y,new_issue,train,ci_hi,9,1.0408977065457805
10y,new_issue,train,ci_hi,10,0.910918611121663
10y,new_issue,holdout,mean_xcpi,-10,0.0
10y,new_issue,holdout,mean_xcpi,-9,-0.005148505355719812
10y,new_issue,holdout,mean_xcpi,-8,0.05366640796367585
10y,new_issue,holdout,mean_xcpi,-7,0.06142977487331086
10y,new_issue,holdout,mean_xcpi,-6,0.06810098221647948
10y,new_issue,holdout,mean_xcpi,-5,0.10551409670962705
10y,new_issue,holdout,mean_xcpi,-4,0.15070049943696384
10y,new_issue,holdout,mean_xcpi,-3,0.1470717135360733
10y,new_issue,holdout,mean_xcpi,-2,0.1814331148194074
10y,new_issue,holdout,mean_xcpi,-1,0.24276514082718123
10y,new_issue,holdout,mean_xcpi,0,0.30496600809869534
10y,new_issue,holdout,mean_xcpi,1,0.2909568211569832
10y,new_issue,holdout,mean_xcpi,2,0.3006923804128271
10y,new_issue,holdout,mean_xcpi,3,0.29824092522909784
10y,new_issue,holdout,mean_xcpi,4,0.3437224682220579
10y,new_issue,holdout,mean_xcpi,5,0.39328923176936453
10y,new_issue,holdout,mean_xcpi,6,0.3621066295480125
10y,new_issue,holdout,mean_xcpi,7,0.3952316891396396
10y,new_issue,holdout,mean_xcpi,8,0.3818564909083134
10y,new_issue,holdout,mean_xcpi,9,0.3551441237427103
10y,new_issue,holdout,mean_xcpi,10,0.3800371189544669
10y,new_issue,holdout,median_xcpi,-10,0.0
10y,new_issue,holdout,median_xcpi,-9,-0.0334057355422579
10y,new_issue,holdout,median_xcpi,-8,0.01938643081551561
10y,new_issue,holdout,median_xcpi,-7,0.0361413049034115
10y,new_issue,holdout,median_xcpi,-6,0.037537123568048836
10y,new_issue,holdout,median_xcpi,-5,0.10125911859346215
10y,new_issue,holdout,median_xcpi,-4,0.1073703432123097
10y,new_issue,holdout,median_xcpi,-3,0.10010030598041753
